cohort_id,condition,module,week,rho,lo,hi,n,indicator
STAT0002_2021,online,STAT0002,3,0.2773969168833506,0.17034313191289613,0.37797885855156177,342,Diversity
STAT0002_2021,online,STAT0002,4,0.31099349085364825,0.2058225560989195,0.40906236524405104,342,Diversity
STAT0002_2021,online,STAT0002,5,0.3079632698665735,0.20261112805933035,0.40626811557414944,342,Diversity
STAT0002_2021,online,STAT0002,6,0.30309559679100934,0.19745710785961712,0.40177564891356976,342,Diversity
STAT0002_2021,online,STAT0002,7,0.30186577885847665,0.19615586778628635,0.4006398747764151,342,Diversity
STAT0002_2021,online,STAT0002,8,0.2925105227965101,0.1862694748877077,0.3919900632173481,342,Diversity
STAT0002_2021,online,STAT0002,9,0.29550114481612666,0.1894275491760429,0.39475708765559747,342,Diversity
STAT0002_2021,online,STAT0002,10,0.29766438840961207,0.19171328675578997,0.3967574720769332,342,Diversity
STAT0002_2021,online,STAT0002,11,0.29798762998109735,0.19205493065865567,0.3970562976938957,342,Diversity
STAT0002_2223,in_person,STAT0002,1,0.24911708052945963,0.12593169644422578,0.3647367650583347,267,Diversity
STAT0002_2223,in_person,STAT0002,2,0.3421683625099753,0.2247743985399058,0.44977151153998796,267,Diversity
STAT0002_2223,in_person,STAT0002,3,0.3538251475933002,0.2373293453104104,0.46028829989765985,267,Diversity
STAT0002_2223,in_person,STAT0002,4,0.34509997508129747,0.227928229008289,0.45241923313804777,267,Diversity
STAT0002_2223,in_person,STAT0002,5,0.36504912578840737,0.2494550265059506,0.47038644962173853,267,Diversity
STAT0002_2223,in_person,STAT0002,6,0.3721039095890729,0.2570951690241638,0.4767195107919495,267,Diversity
STAT0002_2223,in_person,STAT0002,7,0.38433787559907434,0.2703783983984581,0.48767622550984047,267,Diversity
STAT0002_2223,in_person,STAT0002,8,0.40534618955775875,0.29329019313904986,0.5064155854115586,267,Diversity
STAT0002_2223,in_person,STAT0002,9,0.41171440860785014,0.3002609281024836,0.5120772267115141,267,Diversity
STAT0002_2223,in_person,STAT0002,10,0.4106048090109626,0.2990454890047861,0.5110913683317555,267,Diversity
STAT0002_2223,in_person,STAT0002,11,0.4140032730035888,0.3027692603671171,0.5141100047274298,267,Diversity
STAT0004_2021,online,STAT0004,1,0.201566951383852,0.08596211264384007,0.31181611577264884,312,Diversity
STAT0004_2021,online,STAT0004,2,0.23895396555645923,0.12481955055365275,0.3468468980893845,312,Diversity
STAT0004_2021,online,STAT0004,3,0.26408251653589454,0.15113463837829516,0.37022383504102496,312,Diversity
STAT0004_2021,online,STAT0004,4,0.28483392586645984,0.17298726217154622,0.38942792465099574,312,Diversity
STAT0004_2021,online,STAT0004,5,0.2957886817393806,0.18456793489662277,0.3995293009644036,312,Diversity
STAT0004_2021,online,STAT0004,6,0.2881873257976944,0.17652898241312145,0.3925227679720903,312,Diversity
STAT0004_2021,online,STAT0004,7,0.2863711477861568,0.17461045245177248,0.39084691565840435,312,Diversity
STAT0004_2021,online,STAT0004,8,0.2848036990378114,0.17295535101231704,0.3894000176518322,312,Diversity
STAT0004_2021,online,STAT0004,9,0.2933887110568875,0.18202819354499863,0.39731844178729864,312,Diversity
STAT0004_2021,online,STAT0004,10,0.3146968472053048,0.20462937033933876,0.41690544715958355,312,Diversity
STAT0004_2021,online,STAT0004,11,0.31940709588920335,0.20964134033360135,0.42122245997730984,312,Diversity
STAT0004_2122,hybrid,STAT0004,1,0.1992314308463715,0.04209181978547849,0.3467523271678623,172,Diversity
STAT0004_2122,hybrid,STAT0004,2,0.23419553791989878,0.07864575796947688,0.37861275585670995,172,Diversity
STAT0004_2122,hybrid,STAT0004,3,0.20903845549249328,0.0523024986497881,0.3557232900952944,172,Diversity
STAT0004_2122,hybrid,STAT0004,4,0.2015432392523358,0.04449582833478464,0.3488694849106035,172,Diversity
STAT0004_2122,hybrid,STAT0004,5,0.2247160008008877,0.06869368095237442,0.37000837937958403,172,Diversity
